seed,x_axle,Greedy Time,final_calculation_time,Total Running time,Route Cost
11,3,39.73795509338379,0.007018089294433594,39.74497318267822,12138.980800722298
11,9,38.790127992630005,0.009230852127075195,38.79935884475708,12188.111171545976
11,15,39.16169309616089,0.006851911544799805,39.16854500770569,12205.01614109946
11,21,38.531283140182495,0.0067899227142333984,38.53807306289673,12199.22499231836
11,27,38.761017084121704,0.006945133209228516,38.76796221733093,12162.012253161714
11,30,38.69394898414612,0.006943941116333008,38.70089292526245,12133.336720174711
11,45,38.62517714500427,0.006824016571044922,38.63200116157532,12081.609500791039
11,60,38.29377365112305,0.0068590641021728516,38.30063271522522,12015.962944253612
11,90,38.14071702957153,0.006846904754638672,38.14756393432617,11907.567856259355
11,120,38.194796085357666,0.006680011749267578,38.201476097106934,11828.614063183313
12,3,39.896036863327026,0.007009983062744141,39.90304684638977,12103.810909473443
12,9,39.095062017440796,0.0069580078125,39.102020025253296,12151.41703343716
12,15,40.163997173309326,0.0069980621337890625,40.170995235443115,12147.992902541371
12,21,38.91206693649292,0.0070340633392333984,38.91910099983215,12128.310713816187
12,27,39.694653034210205,0.007022857666015625,39.70167589187622,12108.501803708521
12,30,38.99700212478638,0.006906986236572266,39.00390911102295,12112.305827495411
12,45,38.89069604873657,0.0069828033447265625,38.8976788520813,12038.235691799446
12,60,38.82262396812439,0.0068547725677490234,38.82947874069214,11960.031931356234
12,90,38.70385932922363,0.006901979446411133,38.710761308670044,11870.424898402602
12,120,38.522746086120605,0.006852865219116211,38.52959895133972,11798.702039987525
13,3,40.623234033584595,0.0072290897369384766,40.63046312332153,12171.66853122399
13,9,43.57938265800476,0.008836030960083008,43.588218688964844,12225.988526547999
13,15,42.45546293258667,0.009278059005737305,42.46474099159241,12206.967955876378
13,21,42.07515287399292,0.0071010589599609375,42.08225393295288,12201.19529887403
13,27,43.444331884384155,0.007839202880859375,43.452171087265015,12184.188729506604
13,30,43.9907329082489,0.01012110710144043,44.00085401535034,12168.121313589962
13,45,42.33868384361267,0.007143974304199219,42.34582781791687,12114.94779928175
13,60,43.31230092048645,0.0071010589599609375,43.31940197944641,12065.981133483385
13,90,44.51923084259033,0.008794307708740234,44.52802515029907,11978.294520536541
13,120,43.943305015563965,0.009789228439331055,43.953094244003296,11904.508473232234
14,3,46.43182587623596,0.00980520248413086,46.44163107872009,12007.378729566188
14,9,43.609073877334595,0.0069692134857177734,43.61604309082031,12064.814917483764
14,15,43.98708772659302,0.007224082946777344,43.994311809539795,12066.286116292475
14,21,45.50577688217163,0.0070230960845947266,45.512799978256226,12050.40212696354
14,27,42.269453048706055,0.007096052169799805,42.276549100875854,12022.731804596206
14,30,42.71399927139282,0.008791685104370117,42.72279095649719,12016.972376553304
14,45,42.80227088928223,0.007859945297241211,42.81013083457947,11957.335355171832
14,60,42.48716688156128,0.006867170333862305,42.49403405189514,11906.899221497639
14,90,42.55877876281738,0.007075071334838867,42.56585383415222,11804.429980471285
14,120,40.313249826431274,0.008033990859985352,40.32128381729126,11714.845954753502
15,3,43.96903991699219,0.008137941360473633,43.97717785835266,11994.148032988014
15,9,43.82214283943176,0.009265899658203125,43.831408739089966,12058.50932656586
15,15,43.71921896934509,0.0073320865631103516,43.7265510559082,12048.550863473634
15,21,40.81281900405884,0.007102251052856445,40.819921255111694,12037.277603205737
15,27,39.722161054611206,0.0070230960845947266,39.7291841506958,12014.29026536957
15,30,39.496158838272095,0.0069539546966552734,39.50311279296875,12005.003040896918
15,45,39.42207312583923,0.0069789886474609375,39.429052114486694,11963.25816961634
15,60,39.549628019332886,0.006987094879150391,39.556615114212036,11893.74426734638
15,90,39.10115694999695,0.00680088996887207,39.10795783996582,11778.29150821657
15,120,39.27935600280762,0.00705718994140625,39.28641319274902,11722.967963032948
16,3,40.86288809776306,0.0070171356201171875,40.86990523338318,12187.903825089288
16,9,39.65131211280823,0.00700688362121582,39.65831899642944,12245.038390563941
16,15,39.73842406272888,0.007032155990600586,39.74545621871948,12240.419015662177
16,21,39.5589439868927,0.007117033004760742,39.56606101989746,12242.810708697147
16,27,39.93732810020447,0.007143974304199219,39.94447207450867,12200.327228588638
16,30,39.73675298690796,0.007050991058349609,39.74380397796631,12203.504690327954
16,45,39.67131805419922,0.0071258544921875,39.678443908691406,12126.030266059955
16,60,39.577556848526,0.007200002670288086,39.58475685119629,12064.32125075428
16,90,39.39102506637573,0.0070650577545166016,39.39809012413025,11961.35416509087
16,120,39.06419086456299,0.0068721771240234375,39.07106304168701,11877.811504486019
17,3,41.0657958984375,0.007046937942504883,41.072842836380005,12100.47163471529
17,9,40.08063077926636,0.007013082504272461,40.08764386177063,12172.233677581147
17,15,40.074652910232544,0.007196187973022461,40.081849098205566,12195.560579707211
17,21,39.79826378822327,0.006995201110839844,39.805258989334106,12156.06509195433
17,27,40.0327513217926,0.007172107696533203,40.039923429489136,12139.369900136599
17,30,39.779409885406494,0.00714111328125,39.786550998687744,12133.373401888151
17,45,39.78640413284302,0.007164955139160156,39.79356908798218,12079.870076625453
17,60,39.39209294319153,0.007142066955566406,39.399235010147095,12028.510792401752
17,90,39.34373688697815,0.00698089599609375,39.35071778297424,11927.987789772727
17,120,39.029170751571655,0.0069162845611572266,39.03608703613281,11880.355018654132
18,3,40.634734869003296,0.008151054382324219,40.64288592338562,12215.889454319462
18,9,40.29871392250061,0.007069110870361328,40.30578303337097,12305.398651414886
18,15,39.86576700210571,0.0070629119873046875,39.87282991409302,12297.371905242106
18,21,39.659377098083496,0.007033824920654297,39.66641092300415,12288.757275556152
18,27,40.17033910751343,0.0069828033447265625,40.177321910858154,12275.131603429776
18,30,39.5185968875885,0.007089138031005859,39.52568602561951,12237.06353415138
18,45,39.8358793258667,0.006944894790649414,39.84282422065735,12189.760991954548
18,60,39.21985983848572,0.007025003433227539,39.226884841918945,12113.918175215147
18,90,39.171764850616455,0.006960868835449219,39.178725719451904,12009.000345060442
18,120,40.127389907836914,0.00947713851928711,40.1368670463562,11915.976782047936
19,3,41.05630588531494,0.00705718994140625,41.06336307525635,12129.243932714066
19,9,39.870845079422,0.007002115249633789,39.87784719467163,12177.649919391906
19,15,40.26078414916992,0.006994962692260742,40.26777911186218,12153.721722679458
19,21,39.943525314331055,0.00688481330871582,39.95041012763977,12156.528321324844
19,27,39.7256121635437,0.0070116519927978516,39.7326238155365,12132.385228800338
19,30,40.024998903274536,0.007234096527099609,40.032232999801636,12110.243583280278
19,45,39.562780141830444,0.007117033004760742,39.569897174835205,12060.76972041223
19,60,39.323150873184204,0.006986141204833984,39.33013701438904,12016.25288903344
19,90,39.39073920249939,0.00712895393371582,39.397868156433105,11916.679174870214
19,120,39.1861629486084,0.006926774978637695,39.193089723587036,11846.562559901418
20,3,41.540756940841675,0.007077217102050781,41.547834157943726,12146.29771326091
20,9,40.300528049468994,0.008712053298950195,40.309240102767944,12177.581836352409
20,15,39.91247320175171,0.0072479248046875,39.9197211265564,12168.941131361496
20,21,39.7827787399292,0.00702214241027832,39.78980088233948,12165.056603196292
20,27,39.880671977996826,0.007025241851806641,39.88769721984863,12155.175654528357
20,30,39.99459505081177,0.0071790218353271484,40.001774072647095,12131.627152551811
20,45,39.54935598373413,0.0070149898529052734,39.556370973587036,12067.66528016042
20,60,39.35775327682495,0.007046699523925781,39.36479997634888,12000.862061951793
20,90,39.48586893081665,0.007079124450683594,39.492948055267334,11919.033481801887
20,120,39.28969192504883,0.006946086883544922,39.29663801193237,11841.077671404664
